id;cwe_id;description;code;tags
1;neural City;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;transmitting Arkansas
2;parsing auxiliary morph;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;tan Borders online
3;Ergonomic;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Som
4;program Cotton;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Uzbekistan
5;Ameliorated ability neural;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Human Avon Officer
6;Division Soft Account;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;solution Chief Wooden
7;withdrawal hardware;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;copy eyeballs
8;Global Director;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Developer Future
9;eyeballs Electronics copying;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;driver Tools
10;withdrawal Associate interfaces;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;National navigate website
